Date,XLK,XLF,XLV
2026-02-23,138.52000427246094,50.72999954223633,158.5399932861328
2026-02-24,140.32000732421875,50.97999954223633,157.8699951171875
2026-02-25,143.00999450683594,51.869998931884766,157.8300018310547
2026-02-26,141.00999450683594,52.5,157.4199981689453
2026-02-27,138.75999450683594,51.43000030517578,160.1999969482422
2026-03-02,139.5399932861328,51.29999923706055,158.52999877929688
2026-03-03,137.5,51.209999084472656,156.74000549316406
2026-03-04,139.83999633789062,51.5,157.0500030517578
2026-03-05,140.17999267578125,51.22999954223633,153.91000366210938
2026-03-06,137.2899932861328,50.56999969482422,152.6999969482422
2026-03-09,139.75999450683594,50.33000183105469,154.25999450683594
2026-03-10,139.75999450683594,50.060001373291016,153.14999389648438
2026-03-11,140.42999267578125,49.63999938964844,152.85000610351562
2026-03-12,137.83999633789062,48.83000183105469,150.16000366210938
2026-03-13,136.8000030517578,48.88999938964844,149.7899932861328
2026-03-16,138.77999877929688,49.29999923706055,151.00999450683594
2026-03-17,139.5399932861328,49.560001373291016,149.63999938964844
2026-03-18,137.9600067138672,48.970001220703125,147.13999938964844
2026-03-19,138.42999267578125,48.9900016784668,146.61000061035156
2026-03-20,135.2899932861328,49.08000183105469,145.3300018310547
2026-03-23,136.9499969482422,49.27000045776367,144.77000427246094
2026-03-24,136.14999389648438,49.279998779296875,144.7899932861328
2026-03-25,,49.48059844970703,145.8800048828125
